date,close,volume,source,log_return,vodacom_era
2022-06-20,24.35,801800,xlsx,0.0020554991820959595,pre_announcement
2022-06-21,24.0,15713500,xlsx,-0.014478019180653225,pre_announcement
2022-06-22,23.45,30606100,xlsx,-0.02318333545565728,pre_announcement
2022-06-23,23.5,502800,xlsx,0.002129926257824849,pre_announcement
2022-06-24,23.1,36145200,xlsx,-0.01716780362236533,pre_announcement
2022-06-27,23.15,4577100,xlsx,0.0021621630044950956,pre_announcement
2022-06-28,23.35,4773300,xlsx,0.008602203582663288,pre_announcement
2022-06-29,24.9,1840500,xlsx,0.06427081935575546,pre_announcement
2022-06-30,24.95,8554700,xlsx,0.002006018726865766,pre_announcement
2022-07-01,25.05,15171700,xlsx,0.004000005333346137,pre_announcement
2022-07-04,26.55,7884000,xlsx,0.05815592015707406,pre_announcement
2022-07-05,27.6,18317400,xlsx,0.03878602503515645,pre_announcement
2022-07-06,27.75,11302300,xlsx,0.005420067469339113,pre_announcement
2022-07-07,27.95,6109800,xlsx,0.007181359408664576,pre_announcement
2022-07-08,28.2,4897700,xlsx,0.008904778342959685,pre_announcement
2022-07-12,29.5,9781300,xlsx,0.04506828540170625,pre_announcement
2022-07-13,30.0,6032300,xlsx,0.01680711831638119,pre_announcement
2022-07-14,32.05,2795900,xlsx,0.06609980170452348,pre_announcement
2022-07-15,31.45,2575700,xlsx,-0.018898200220229432,pre_announcement
2022-07-18,30.0,3273000,xlsx,-0.04720160148429414,pre_announcement
2022-07-19,28.9,2678200,xlsx,-0.03735578654376897,pre_announcement
2022-07-20,28.15,8901200,xlsx,-0.02629424053268704,pre_announcement
2022-07-21,28.55,3783100,xlsx,0.014109581516319993,pre_announcement
2022-07-22,29.0,6648900,xlsx,0.01563889388445473,pre_announcement
2022-07-25,29.5,2313900,xlsx,0.01709443335930004,pre_announcement
2022-07-26,29.0,2508100,xlsx,-0.017094433359300068,pre_announcement
2022-07-27,29.55,568100,xlsx,0.01878791386563327,pre_announcement
2022-07-28,30.0,3515200,xlsx,0.015113637810048106,pre_announcement
2022-07-29,29.95,1843600,xlsx,-0.0016680571006970587,pre_announcement
2022-08-01,29.15,3002100,xlsx,-0.027074411764956976,pre_announcement
2022-08-02,29.75,8482600,xlsx,0.020374219195137516,pre_announcement
2022-08-03,29.6,6899200,xlsx,-0.00505477066162406,pre_announcement
2022-08-04,30.0,4305000,xlsx,0.01342302033214055,pre_announcement
2022-08-05,30.1,1242900,xlsx,0.0033277900926747457,pre_announcement
2022-08-08,30.0,12711700,xlsx,-0.003327790092674691,pre_announcement
2022-08-10,30.45,2025600,xlsx,0.014888612493750559,pre_announcement
2022-08-11,31.8,2414800,xlsx,0.04338029563022518,pre_announcement
2022-08-12,31.15,1332600,xlsx,-0.020652044552669054,pre_announcement
2022-08-15,31.15,5086300,xlsx,0.0,pre_announcement
2022-08-16,31.1,2411300,xlsx,-0.0016064260482735768,pre_announcement
2022-08-17,31.1,7573100,xlsx,0.0,pre_announcement
2022-08-18,31.05,1947200,xlsx,-0.0016090108057006626,pre_announcement
2022-08-19,31.25,6192400,xlsx,0.0064205678029227616,pre_announcement
2022-08-22,30.1,3324700,xlsx,-0.037494204427580405,pre_announcement
2022-08-23,29.8,2585600,xlsx,-0.010016778243471344,pre_announcement
2022-08-24,29.1,3560300,xlsx,-0.02377021933391196,pre_announcement
2022-08-25,28.45,1614000,xlsx,-0.022590013605106936,pre_announcement
2022-08-26,28.05,4559100,xlsx,-0.014159528603634503,pre_announcement
2022-08-29,28.25,1756700,xlsx,0.007104825623744582,pre_announcement
2022-08-30,28.2,5198300,xlsx,-0.0017714796483821156,pre_announcement
2022-08-31,27.95,12171700,xlsx,-0.008904778342959722,pre_announcement
2022-09-01,27.85,14308900,xlsx,-0.00358423322781505,pre_announcement
2022-09-02,28.05,7760900,xlsx,0.007155665595412232,pre_announcement
2022-09-05,29.05,4281700,xlsx,0.035029851329214906,pre_announcement
2022-09-06,31.05,7397300,xlsx,0.0665803250815676,pre_announcement
2022-09-07,29.85,4653700,xlsx,-0.03941396854087663,pre_announcement
2022-09-08,29.9,3071200,xlsx,0.001673640558029472,pre_announcement
2022-09-09,29.25,3144600,xlsx,-0.02197890671877523,pre_announcement
2022-09-12,28.65,13162200,xlsx,-0.02072613051711697,pre_announcement
2022-09-14,28.2,4601200,xlsx,-0.015831465216680628,pre_announcement
2022-09-15,26.85,19525800,xlsx,-0.04905615698919408,pre_announcement
2022-09-16,26.55,13486400,xlsx,-0.011236073266925842,pre_announcement
2022-09-19,26.8,1335500,xlsx,0.009372139828863252,pre_announcement
2022-09-20,27.55,5351600,xlsx,0.02760064808211255,pre_announcement
2022-09-21,27.5,6238800,xlsx,-0.001816530926397894,pre_announcement
2022-09-22,27.5,9561000,xlsx,0.0,pre_announcement
2022-09-23,27.4,13487700,xlsx,-0.003642991278501092,pre_announcement
2022-09-26,27.05,7178600,xlsx,-0.012856008101533912,pre_announcement
2022-09-27,26.25,4702900,xlsx,-0.03002101625485782,pre_announcement
2022-09-28,25.95,3706500,xlsx,-0.011494379425735134,pre_announcement
2022-09-29,25.15,2863700,xlsx,-0.031313713066149496,pre_announcement
2022-09-30,24.95,4541600,xlsx,-0.007984074348220531,pre_announcement
2022-10-03,24.75,591400,xlsx,-0.008048333182828372,pre_announcement
2022-10-04,24.45,10379300,xlsx,-0.012195273093818355,pre_announcement
2022-10-05,23.7,10551300,xlsx,-0.031155167779795576,pre_announcement
2022-10-06,23.65,40335300,xlsx,-0.002111933203143613,pre_announcement
2022-10-07,24.75,20918000,xlsx,0.04546237407675741,pre_announcement
2022-10-11,25.95,9481300,xlsx,0.04734612059719821,pre_announcement
2022-10-12,26.35,12788300,xlsx,0.015296665375473827,pre_announcement
2022-10-13,25.85,3895200,xlsx,-0.019157674032933145,pre_announcement
2022-10-14,25.55,555000,xlsx,-0.011673284304724734,pre_announcement
2022-10-17,25.5,884700,xlsx,-0.001958864485333034,pre_announcement
2022-10-18,25.5,1322500,xlsx,0.0,pre_announcement
2022-10-19,25.45,865100,xlsx,-0.001962709167848706,pre_announcement
2022-10-21,24.95,2163100,xlsx,-0.01984192079900406,pre_announcement
2022-10-24,24.55,687200,xlsx,-0.01616196795699799,pre_announcement
